threshold,min_area,dice,iou,sensitivity,specificity,precision,accuracy,fpr,fnr,mae
0.065,0,0.7988313390486741,0.7102636970318869,0.8320546695413154,0.996653587993416,0.8299880707403576,0.993939730787533,0.003346412008152012,0.2819349680518927,0.006060269
0.065,3,0.7986639231724589,0.7101697292546127,0.8319286831098759,0.9966547305804151,0.8300131528411129,0.9939387820545342,0.0033452694211529885,0.28206095448333207,0.0060612177
0.065,5,0.7985876281674389,0.7100920294429836,0.8317293711901182,0.9966575882842771,0.8301236830735428,0.9939388611156175,0.0033424117172908612,0.28226026640308965,0.006061139
0.065,10,0.7971955816394133,0.7087750521726639,0.8296272096568694,0.9966635859759487,0.8307382104287668,0.9939305597018788,0.0033364140256194426,0.28436242793633854,0.0060694404
0.065,20,0.7933020708895531,0.7057782877007281,0.8254736966698943,0.996684259293481,0.8307823975464858,0.9939157752793157,0.003315740708087154,0.2885159409233139,0.0060842247
0.065,30,0.787521334993635,0.7015627467468751,0.8192989484288393,0.9967070600630108,0.8325537580847279,0.9938812255859462,0.0032929399385574864,0.2946906891643688,0.0061187744
0.065,50,0.7807851721168608,0.6955664455210985,0.8085172024247156,0.9967697905459363,0.8361275184220354,0.9937941793333152,0.003230209455631834,0.3054724351684923,0.0062058205
0.065,75,0.7774668477026997,0.6929435115551676,0.8004677833300022,0.9968665226805062,0.843823462037589,0.9937655592211876,0.0031334773210616672,0.31352185426320545,0.006234441
0.065,100,0.760186240651614,0.6770199928065197,0.7785627965499503,0.9969539578611112,0.8513597566651399,0.9936358199836148,0.003046042140456389,0.33542684104325765,0.0063641802
0.07,0,0.7989697872236806,0.71042255248904,0.8309600810439817,0.9966917678996274,0.8312471372227109,0.993947795018022,0.0033082321019402275,0.28302955654922674,0.006052205
0.07,3,0.7987260919322797,0.710246623198896,0.8307348267418253,0.996693242530768,0.8312545666961965,0.9939468462850233,0.0033067574707995617,0.28325481085138304,0.006053154
0.07,5,0.7987577291161901,0.710285702330419,0.8306898895076279,0.99669536369584,0.8313735924290625,0.9939469253461065,0.003304636305727585,0.28329974808558056,0.0060530747
0.07,10,0.7973924024432192,0.7090008640137567,0.8285773404102078,0.9967030599522997,0.8320620110649927,0.9939390192377839,0.003296940049268224,0.28541229718300026,0.0060609807
0.07,20,0.7934167113531926,0.7058781615557291,0.8243276102225766,0.996722273816523,0.8320465981405274,0.9939217839216408,0.003277726185044994,0.28966202737063135,0.0060782162
0.07,30,0.7877471266969858,0.7018183462799902,0.8184163039631503,0.9967435132496928,0.8338073303291768,0.9938905547937668,0.003256486751875042,0.2955733336300575,0.0061094454
0.07,50,0.7809889338313238,0.6958091397883116,0.8076556940163824,0.9968049280613183,0.8372701992536823,0.9938031922968029,0.0031950719402491796,0.30633394357682536,0.0061968076
