threshold,min_area,dice,iou,sensitivity,specificity,precision,accuracy,fpr,fnr,mae
0.17,20,0.7919496127223971,0.7048132497243708,0.8058204107968564,0.9972197800680143,0.8472061525027254,0.9939835306276399,0.0027802199335527004,0.3081692267963512,0.0060164696
0.17,30,0.7876350052742269,0.7016254688686352,0.8006543234625813,0.9972450557485273,0.8501194333104315,0.9939529339884317,0.002754944253040192,0.3133353141306265,0.006047066
0.17,50,0.7820555095023857,0.6967150447129362,0.7922511216268542,0.9972946484752709,0.8546423301343062,0.9938809093416133,0.0027053515262964348,0.32173851596635383,0.0061190906
0.18,0,0.7971363928563465,0.7089412765355436,0.8102225278993063,0.9972337824519781,0.8492322670570837,0.9940188709318415,0.002766217549589341,0.3037671096939019,0.005981129
0.18,3,0.7968733537836841,0.7087334988001254,0.8099289866754716,0.9972351789141753,0.8493050906779058,0.9940186337485918,0.0027648210873923904,0.3040606509177364,0.005981366
0.18,5,0.7967426441064281,0.7085666124973332,0.8097163758732451,0.9972360012355679,0.8492812195622991,0.9940174478323434,0.0027639987659997234,0.304273261719963,0.005982552
0.18,10,0.795952700821145,0.7078384428642777,0.8087761625104274,0.9972429228421278,0.8492823770783745,0.9940130204116827,0.002757077159439868,0.3052134750827808,0.0059869797
0.18,20,0.7920989115481596,0.704972015981412,0.804548017643122,0.9972635280722995,0.8486473303094713,0.9939906461251301,0.0027364719292685084,0.3094416199500862,0.006009354
0.18,30,0.7877669461072034,0.7017463578038731,0.7994100659133366,0.9972875193015881,0.8514576438023523,0.9939566498593432,0.0027124806999797644,0.31457957167987166,0.0060433503
0.18,50,0.7822425990256766,0.6968910891913067,0.791213474459711,0.9973333982307048,0.8560084217369167,0.993886759861772,0.002666601770862982,0.32277616313349705,0.00611324
0.19,0,0.7967610396111461,0.708589954182917,0.8085558188914427,0.9972716879881364,0.8506000767309922,0.9940196615426737,0.0027283120134312683,0.30543381870176506,0.0059803384
0.19,3,0.7965187546538501,0.7084024765434536,0.8083064095931259,0.9972729157691304,0.8506977758201387,0.9940191871761743,0.0027270842324372433,0.3056832280000821,0.005980813
0.19,5,0.7963509717407746,0.708193049302825,0.8080363912086425,0.9972741550339008,0.8506692509484984,0.9940176850155931,0.002725844967666859,0.30595324638456545,0.005982315
0.19,10,0.7938861249557162,0.7064840762479683,0.8061357609506432,0.9972801620213027,0.8506842384189411,0.9940120716786841,0.0027198379802650533,0.3078538766425647,0.0059879282
0.19,20,0.7909544635783722,0.7042002095313226,0.8024963152804516,0.9972997817931836,0.8513072449633995,0.9939905670640469,0.002700218208384115,0.3114933223127563,0.006009433
0.19,30,0.7875816518700389,0.7015145718765377,0.797984376446845,0.9973245456522363,0.8525931191014001,0.9939556220652611,0.002675454349331395,0.3160052611463631,0.006044378
0.19,50,0.7823024839986753,0.6970095813884686,0.7899329775835244,0.9973732915284489,0.8574527713191511,0.9938881039001869,0.002626708473118804,0.3240566600096836,0.006111896
0.2,0,0.7965471972520941,0.7084236010014489,0.8068129251112395,0.9973134431059217,0.8518995705760407,0.99402250774167,0.0026865568956457,0.30717671248196793,0.0059774923
0.2,3,0.7962966656948309,0.708195752013476,0.806523535998112,0.9973147518467299,0.8520119732386315,0.9940225868027532,0.0026852481548374552,0.30746610159509546,0.005977413
0.2,5,0.7962362352885036,0.70811915062671,0.8063759499560401,0.9973164740004309,0.8520465081633124,0.9940210846421719,0.0026835260011366,0.30761368763716745,0.0059789154
0.2,10,0.7933944191653147,0.7061112025806812,0.8039868252914246,0.9973219874602901,0.8517961610320585,0.9940149178776804,0.0026780125412773545,0.3100028123017829,0.005985082
0.2,20,0.790756713588083,0.7039931718009407,0.8005722367673239,0.9973407941224551,0.8527046185155106,0.9939933342019598,0.002659205879112423,0.3134174008258836,0.006006666
0.2,30,0.7875943913966853,0.7015299322921198,0.7966153966837999,0.9973666936146438,0.8540567762716758,0.9939564917371766,0.0026333063869238846,0.31737424090940786,0.006043508
