mode,threshold,dice,iou,sensitivity,specificity,precision,accuracy,mae,tp,tn,fp,fn
lung_constrained_probability,0.45,0.5173393159740048,0.3489263063003931,0.5171048237031742,0.9989491131282516,0.5175740210121692,0.9979008265904008,0.0020991733763366938,10838,9602731,10102,10121
lung_constrained_probability,0.46,0.5177405076918158,0.34929140975551237,0.5162460041030029,0.9989578514471219,0.5192436894133221,0.997907677475286,0.0020923225674778223,10820,9602815,10018,10139
lung_constrained_probability,0.47,0.5181595739575594,0.349672990999045,0.5152917601028125,0.9989673179592312,0.5210594876245858,0.997915047366602,0.0020849525462836027,10800,9602906,9927,10159
lung_constrained_probability,0.48,0.5184116218100108,0.3499025974024838,0.5141943795025935,0.9989762643333127,0.5226986128622938,0.9979215868476287,0.00207841326482594,10777,9602992,9841,10182
lung_constrained_probability,0.49,0.5186327917850556,0.350104139546879,0.5132878477024126,0.9989837543209157,0.5240902226333491,0.9979270883157941,0.002072911709547043,10758,9603064,9769,10201
lung_constrained_probability,0.5,0.5191824507149886,0.3506052794725909,0.5126675891022889,0.998992180556969,0.5258650222676425,0.9979341468032515,0.002065853215754032,10745,9603145,9688,10214
lung_constrained_probability,0.51,0.5197548508998039,0.3511275488494252,0.511856481702127,0.9990019591518953,0.5279007971653735,0.9979421395022843,0.002057860605418682,10728,9603239,9594,10231
lung_constrained_probability,0.52,0.5204594574903421,0.3517710008862056,0.5112839353020128,0.999011321636399,0.5299703264092335,0.9979502360026032,0.0020497639197856188,10716,9603329,9504,10243
lung_constrained_probability,0.53,0.5209626006763217,0.3522308502236272,0.5107591011019081,0.9990187075963964,0.5315820836227373,0.9979564640797716,0.0020435359328985214,10705,9603400,9433,10254
lung_constrained_probability,0.54,0.5211027079774284,0.3523589574396726,0.5095662961016701,0.9990272378600554,0.533173580949262,0.9979623807530815,0.0020376192405819893,10680,9603482,9351,10279
lung_constrained_probability,0.55,0.5216498374121608,0.3528594582078018,0.5089937497015559,0.9990352479856865,0.5349513589406604,0.9979691278366806,0.0020308722741901875,10668,9603559,9274,10291
lung_constrained_probability,0.56,0.5219991666052597,0.35317920992392676,0.5080395057013655,0.9990439863045567,0.5367476560134404,0.9979757711189935,0.0020242289174348116,10648,9603643,9190,10311
lung_constrained_probability,0.57,0.522533585480138,0.3536686724956436,0.5075623837012703,0.9990512682369486,0.5384148193134232,0.9979819991961619,0.0020180006977170706,10638,9603713,9120,10321
lung_constrained_probability,0.58,0.5228996355755632,0.35400413416004733,0.5066081397010799,0.9990601105834244,0.5402737495545005,0.997988746279761,0.0020112537313252687,10618,9603798,9035,10341
lung_constrained_probability,0.59,0.5233700212229102,0.35443545691545075,0.5059401689009466,0.9990680166814497,0.5420436538360466,0.9979951819595015,0.002004818059504032,10604,9603874,8959,10355
lung_constrained_probability,0.6,0.5237329639613832,0.3547684471548975,0.5051290615007847,0.9990759227794752,0.5437596302000288,0.9980013062353839,0.0019986936822533607,10587,9603950,8883,10372
lung_constrained_probability,0.61,0.5243300860165776,0.35531664706858546,0.5046042273006801,0.9990839329051062,0.5456609225051359,0.998008157120269,0.0019918428733944893,10576,9604027,8806,10383
lung_constrained_probability,0.62,0.5247645319216371,0.3557157777701709,0.5037454077005087,0.9990926712239764,0.5476141078835334,0.9980150080051542,0.001984992064535618,10558,9604111,8722,10401
lung_constrained_probability,0.63,0.5248287031268158,0.3557747525587421,0.5025048905002611,0.999100785377213,0.5492282019187791,0.9980204056720334,0.00197959435172379,10532,9604189,8644,10427
lung_constrained_probability,0.64,0.5254482793065968,0.3563444211095602,0.501932344100147,0.9991092116132664,0.551276004820756,0.9980275679607771,0.00197243201546371,10520,9604270,8563,10439
lung_constrained_probability,0.65,0.5252358431547869,0.3561490430296063,0.500739539099909,0.9991148291039686,0.5522521574402482,0.9980305781980752,0.001969421748071909,10495,9604324,8509,10464
lung_constrained_probability,0.66,0.5255419510235534,0.35643058911603426,0.49968987069969956,0.9991236714504445,0.5542149547544296,0.998037117679102,0.0019628822337836027,10473,9604409,8424,10486
